pos_x,pos_y,pos_z,b_x_gt,b_y_gt,b_z_gt,b_total_strength_gt,throttle,b_motor_x,b_motor_y,b_motor_z,b_x_noisy,b_y_noisy,b_z_noisy,b_total_strength_noisy
80.7,50.0,25.0,2.9663197672463994e-09,0.0,-1.0574613262187336e-09,3.149170909621295e-09,0.585853561061761,-0.0,-0.0,5.85853561061761e-06,-1.203442579059971e-07,-1.5789385292748775e-08,5.859057188388242e-06,5.860314256241111e-06
80.80000000000001,50.0,25.0,2.9371489654113794e-09,0.0,-1.0566954979168346e-09,3.1214498907294417e-09,0.583497033141437,-0.0,-0.0,5.8349703314143695e-06,1.424544011432787e-08,5.579212038739721e-08,5.8364732945046045e-06,5.836757336974599e-06
80.9,50.0,25.0,2.9083107657983855e-09,0.0,-1.0558391641011744e-09,3.0940374675993596e-09,0.5811667979697437,-0.0,-0.0,5.8116679796974365e-06,3.820041556037922e-08,4.118832258179203e-08,5.813172366790889e-06,5.813443791393124e-06
81.0,50.0,25.0,2.8798010454812987e-09,0.0,-1.0548948632551559e-09,3.066929610225395e-09,0.578863223517828,-0.0,-0.0,5.78863223517828e-06,7.77699658132481e-08,1.7245091367274858e-08,5.789849416543252e-06,5.7903973807507455e-06
81.10000000000001,50.0,25.0,2.8516157327535047e-09,0.0,-1.0538650754822739e-09,3.0401223469802274e-09,0.5765866735467985,-0.0,-0.0,5.765866735467986e-06,7.717144049748785e-08,-6.443821413719921e-08,5.766735428798452e-06,5.767611743211302e-06
81.2,50.0,25.0,2.8237508065995014e-09,0.0,-1.0527522237937632e-09,3.013611763727048e-09,0.5743375075502876,-0.0,-0.0,5.743375075502875e-06,-9.515828502059227e-08,4.6954689453311165e-08,5.744122156762012e-06,5.745102191769437e-06
81.30000000000001,50.0,25.0,2.7962022961666554e-09,0.0,-1.0515586753684896e-09,2.9873940029447754e-09,0.5721160806976784,-0.0,-0.0,5.7211608069767856e-06,-1.8264814265552127e-08,-1.1069111532898385e-07,5.721768426962586e-06,5.7228681671202974e-06
81.4,50.0,25.0,2.768966280237517e-09,0.0,-1.0502867427856331e-09,2.96146526286628e-09,0.5699227437780231,-0.0,-0.0,5.699227437780231e-06,-4.1898478371519486e-08,-2.0535057029170124e-08,5.700738911111559e-06,5.700929863076587e-06
81.5,50.0,25.0,2.742038886702755e-09,0.0,-1.0489386852307368e-09,2.9358217966292966e-09,0.5677578431446474,-0.0,-0.0,5.6775784314464735e-06,1.2556326938591825e-09,-1.0789822790478938e-07,5.678239215529848e-06,5.679264405975432e-06
81.60000000000001,50.0,25.0,2.715416292035114e-09,0.0,-1.047516709675656e-09,2.9104599114400186e-09,0.5656217206604564,-0.0,-0.0,5.656217206604564e-06,-2.8758539879078892e-08,-9.601827814975407e-09,5.657817278730239e-06,5.657898515191997e-06
81.7,50.0,25.0,2.6890947207645206e-09,0.0,-1.046022972032966e-09,2.8853759677491413e-09,0.5635147136439544,-0.0,-0.0,5.635147136439544e-06,1.4360553397416874e-08,1.6047396943269626e-08,5.636782284617155e-06,5.636823420031563e-06
81.80000000000001,50.0,25.0,2.6630704449545913e-09,0.0,-1.0444595782853366e-09,2.860566378440226e-09,0.5614371548159738,-0.0,-0.0,5.614371548159737e-06,1.0283390245116414e-07,4.9265435164182435e-08,5.614889693003947e-06,5.616047378646054e-06
81.9,50.0,25.0,2.6373397836807525e-09,0.0,-1.0428285855904097e-09,2.8360276080302415e-09,0.5593893722471381,-0.0,-0.0,5.593893722471381e-06,-3.1931162069142454e-08,-1.074297634161403e-08,5.5954382678670905e-06,5.59553968980323e-06
82.0,50.0,25.0,2.6118991025101323e-09,0.0,-1.0411320033616774e-09,2.8117561718821096e-09,0.557371689306053,-0.0,-0.0,5.57371689306053e-06,3.663134352080827e-08,2.5293051868474392e-08,5.5751836116195686e-06,5.5753613243513085e-06
82.10000000000001,50.0,25.0,2.586744812983447e-09,0.0,-1.039371794325873e-09,2.787748635429126e-09,0.555384424608244,-0.0,-0.0,5.553844246082441e-06,-8.516426978914628e-08,5.2237403468142794e-08,5.554569251005207e-06,5.55546769078737e-06
